person,name,year
https://data.muziekschatten.nl/som/0215e2605274c597ca326a9a68848fa2,S. KAMENEFF,1801
https://data.muziekschatten.nl/som/0215e2605274c597ca326a9a68848fa2,S. KAMENEFF,18..
https://data.muziekschatten.nl/som/0217e27ecb39533ffbe8f530324cc43e,SHIRVINSKAS,1943
https://data.muziekschatten.nl/som/0217e27ecb39533ffbe8f530324cc43e,JUOZAS SIRVINSKAS,1943
https://data.muziekschatten.nl/som/0218674ab0e249630da4b97722efd226,HUMALDA VAN EIJSINGA,1870
https://data.muziekschatten.nl/som/0218674ab0e249630da4b97722efd226,C. VAN HUMALDA,1870
https://data.muziekschatten.nl/som/0218a8202081dbb063b723ccf687452d,MARIUS LAMBERT,1868
https://data.muziekschatten.nl/som/021948838fef973516e5d5d032a94b3f,LYTTON STRACHEY,1880
https://data.muziekschatten.nl/som/0219c9469819e9a6fab6035f2389106a,ERIK CHARELL,1894
https://data.muziekschatten.nl/som/021a66de0d2a0c5a85794faeeb5417e6,WILLIAM CHILD,1606
https://data.muziekschatten.nl/som/02205f3a37631745ac687966fcf4785d,DIETRICH MANICKE,1923
https://data.muziekschatten.nl/som/02269fe8a5f4168824c6289a8be4b133,SABRI TULUG TIRPAN,1970
https://data.muziekschatten.nl/som/022a8de2c292738a0ca95d1c096e090a,SRDAN DEDIC,1965
https://data.muziekschatten.nl/som/022d72a59caa341191e102b8cc6f3c7f,GÉRARD MASSIAS,1933
https://data.muziekschatten.nl/som/022fc4101d1e755e3b8d556bc827d6f8,THOMAS ÅBERG,1952
https://data.muziekschatten.nl/som/0231648fd7d21ad816f1b0c2cd1c2ba1,JOHN PATTON MARSHALL,1877
https://data.muziekschatten.nl/som/0232450246080165dd2d4fd2acb9b339,POMPEO NATALE,1601
https://data.muziekschatten.nl/som/0232450246080165dd2d4fd2acb9b339,POMPEO NATALE,16..
https://data.muziekschatten.nl/som/023330396b3b153728163606426fa085,WILLIAM SHELBYE,1501
https://data.muziekschatten.nl/som/023330396b3b153728163606426fa085,WILLIAM SHELBYE,15.
https://data.muziekschatten.nl/som/02366f3d1d2cdec1529fac691cd0ed82,STEINGRÍMUR THORSTEINSSON,1831
https://data.muziekschatten.nl/som/02378cada27ef999e0ad6905a1d44d92,RUTH LOWE,1914
https://data.muziekschatten.nl/som/0238b8bd47231133ff0c1ced0daa162b,CHRISTIAN TRAUGOTT BRUNNER,1792
